KO-1	KO-2	KO-3	N-1	N-2	N-3	OT1-2	OT1-3	OT1-4	SV40-3	SV40-4	SV40-5	WT-2	WT-3	WT-5
RP24-426M1.2	4	15	9	2	0	3	13	8	7	1	7	5	20	26	14
RP24-426M1.4	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Rgs20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP24-141F9.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP24-141F9.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC102242.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP24-363O2.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Atp6v1h	3605	5317	6081	5383	5051	5152	5785	5776	4705	3192	5117	3989	4410	5439	4047
RP23-267J18.11	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1
RP23-267J18.10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP23-335P21.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Oprk1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP23-238E7.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm22463	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP23-354J2.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Npbwr1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP23-74E8.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Rb1cc1	5	9	15	94	89	62	8	63	16	9	29	26	0	26	18
AC139064.2	50	66	37	156	72	117	89	102	209	24	82	62	19	45	50
Fam150a	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0
RP23-76C20.3	0	0	0	10	0	3	1	4	1	0	1	0	0	0	1
RP23-76C20.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP23-76C20.4	0	0	1	0	0	0	0	0	0	0	1	0	0	1	0
St18	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0
RP23-299N6.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP23-299N6.1	1	0	2	0	0	1	1	0	1	0	0	2	0	2	1
RP23-5K7.4	5	8	8	5	2	4	4	0	5	2	4	2	5	7	1
RP23-76C20.5	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
RP23-5K7.3	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
RP23-5K7.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP23-5K7.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pcmtd1	17	21	54	117	120	207	8	146	106	59	132	68	3	7	54
RP24-149G24.1	1	0	7	2	5	3	1	2	0	4	4	5	3	2	0
WI1-817D1.2	0	0	0	36	0	0	0	3	3	0	0	0	0	0	0
RP23-278C19.3	13	9	13	8	4	7	8	7	9	5	5	7	12	21	7
Nras-ps2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm23274	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP23-278C19.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP24-263A16.1	23	5	40	2	1	0	19	6	18	0	7	3	10	15	2
RP24-263A16.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP24-181G14.2	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0
RP24-181G14.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP23-404K2.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Rps2-ps2	5	0	2	2	0	0	0	0	0	0	0	0	0	1	1
RP23-408B17.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Sntg1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
RP23-241G23.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC102786.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
RP23-311L17.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm23358	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP24-442E5.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC163389.1	13	6	13	1	2	0	1	2	3	1	9	2	8	22	6
RP23-397E23.1	3	0	4	2	0	3	2	1	2	3	2	1	2	2	4
Gm24276	1	0	2	1	2	0	0	1	1	0	3	1	0	2	2
AC118192.1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0
RP23-200C17.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC122738.1	3	3	5	5	0	1	8	2	4	1	0	3	1	1	1
RP23-331M15.1	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0
RP23-331M15.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP23-411P10.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP23-411P10.5	0	2	3	1	0	1	0	1	1	0	1	0	2	0	1
RP23-411P10.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP23-411P10.2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
Gm24765	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP24-361E12.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Rrs1	87	117	373	72	117	94	43	106	25	37	250	77	121	136	33
Adhfe1	1	1	0	3	3	0	3	32	56	0	48	0	0	3	0
AC103620.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC103620.1	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0
AC103620.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP24-219C22.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mybl1	0	0	2	0	0	0	0	0	2	0	7	0	0	0	0
Vcpip1	94	190	20	505	419	784	234	750	346	113	283	230	157	83	206
RP23-228O9.1	0	1	30	0	1	0	0	2	1	0	5	2	18	9	11
Sgk3	135	862	194	2615	2138	2681	199	469	145	182	311	216	204	304	348
RP23-228O9.3	4	6	3	1	3	1	4	2	0	1	0	0	2	4	0
Gm22607	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mcmdc2	0	0	4	0	0	1	13	0	0	0	0	2	1	3	1
Snhg6	337	158	343	131	208	105	141	165	109	81	189	60	229	193	122
Snord87	2	1	3	1	0	0	0	2	0	2	2	1	10	1	1
Tcf24	0	0	0	0	0	0	0	0	12	0	3	0	0	0	0
RP23-228G18.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ppp1r42	0	8	0	0	0	0	2	3	4	0	0	0	0	0	0
AC102570.3	0	3	0	0	0	0	1	2	0	0	0	0	0	0	0
Gm24674	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cops5	5405	3976	7811	3702	3910	3650	3432	3142	4213	2807	4869	3423	5787	6589	4538
Cspp1	62	69	75	91	258	171	74	115	122	49	45	63	13	55	95
RP23-228G18.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Arfgef1	109	63	176	102	118	176	73	169	170	6	128	88	38	100	78
Gm26348	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP24-327F2.1	0	0	19	0	0	0	0	0	0	0	0	0	0	0	0
Cpa6	0	0	0	0	0	0	0	0	0	0	58	0	0	0	0
RP23-418C16.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC102469.1	3	15	4	7	2	2	13	5	12	3	4	5	3	4	8
Gm25253	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC102426.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP24-88A10.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP24-88A10.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP24-467J24.1	5	4	7	3	6	0	0	2	0	1	0	0	3	5	1
Gm22963	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Prex2	1	0	0	0	2	1	1	2	2	0	4	0	1	0	0
Gm24173	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP24-427A3.1	4	4	5	1	0	2	0	0	0	3	3	5	6	5	0
RP23-366M5.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC103635.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP23-2K13.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP24-467J24.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP24-239K20.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP23-334J7.1	6	3	9	7	3	5	9	5	4	1	23	5	8	11	4
Gm22633	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0
Mir6341	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP23-138D5.1	35	33	23	8	11	12	11	14	17	25	30	24	52	57	30
RP24-331K22.1	0	0	0	0	0	1	0	1	0	0	0	0	0	1	1
RP24-331K22.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP24-331K22.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Sulf1	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0
Slco5a1	0	1	0	0	0	0	0	0	13	0	12	0	1	0	0
RP24-178B14.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP24-178B14.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP24-178B14.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Prdm14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ncoa2	723	1392	1648	1241	1123	2094	1440	2168	1199	772	1316	2309	1594	1569	974
RP23-93D12.2	0	0	37	67	48	29	0	0	27	0	5	42	0	0	3
RP23-93D12.1	0	0	0	0	0	0	1	4	0	0	1	0	0	0	0
Gm27881	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP23-125I14.4	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0
RP23-125I14.3	0	23	18	12	0	0	0	0	0	0	6	0	0	1	0
Gm23169	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP23-125I14.2	0	2	4	83	3	82	0	1	68	0	2	31	0	1	0
RP23-125I14.1	9	2	8	36	17	22	0	10	3	1	18	0	0	1	8
RP23-125I14.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP23-125I14.6	1	1	0	0	0	0	1	1	0	0	0	0	1	0	0
Tram1	2757	4646	5717	6814	4939	5944	7506	10576	5094	6892	8992	4906	4176	5927	4542
Lactb2	402	369	600	254	681	451	387	683	669	147	421	378	402	483	258
RP23-70F22.2	0	1	0	0	5	0	0	38	18	0	0	0	0	0	1
Xkr9	0	0	21	0	0	0	0	3	0	0	2	0	0	0	0
Gm26273	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP23-70F22.1	49	48	67	26	15	39	26	26	32	33	40	42	92	90	41
RP23-74B7.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm25491	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP24-335B5.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eya1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
Gm22616	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP24-291C20.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP24-356G6.1	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0
Msc	0	0	0	1	0	0	39	0	1	0	0	0	0	0	0
RP23-398C14.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Smt3h2-ps4	3	2	2	3	2	3	7	2	1	3	1	2	2	2	2
Rpl5-ps1	18	11	15	19	18	19	13	13	6	4	12	5	7	11	8
Trpa1	0	10	0	0	0	0	0	0	0	0	0	0	18	5	0
Gm26345	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP23-143L15.1	25	32	20	9	4	9	13	16	13	25	21	22	42	44	13
Kcnb2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP23-445B17.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP24-66C10.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm25227	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm25168	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP23-325F17.2	2	2	2	3	1	2	1	3	4	1	2	2	2	3	0
RP23-325F17.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Terf1	218	213	264	378	513	495	453	966	568	174	577	443	343	437	459
RP23-325F17.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Sbspon	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm23259	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP24-178O17.1	3	1	3	7	7	1	1	3	1	1	3	1	0	3	1
AC162442.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Rpl7	35073	15542	40004	40665	59395	31609	18363	14553	26354	12045	22701	16500	20411	21869	14232
Rdh10	31	37	47	3	4	26	59	80	8	10	68	3	34	25	14
RP24-178O17.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP24-73D23.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Stau2	37	0	1	0	0	14	0	25	4	36	177	62	29	2	46
AC167117.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ube2w	997	1444	1601	2260	1757	1789	2070	1563	2123	1179	3288	1923	1250	1432	1468
RP23-382H8.2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
Eloc	2901	1408	3200	1575	2311	1130	2060	1671	1839	925	2176	1265	2063	3096	1430
RP23-382H8.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP23-382H8.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tmem70	185	183	212	200	159	116	161	266	55	338	152	90	383	396	171
Ly96	165	176	174	11	4	22	113	118	64	33	100	47	106	111	74
RP23-470P10.1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0
RP23-470P10.2	10	53	23	32	16	42	19	15	23	45	28	28	25	24	25
RP24-254D14.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP24-254D14.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Jph1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
RP23-110G23.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gdap1	0	0	0	0	38	0	0	0	0	0	0	0	0	0	0
RP24-317E22.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP24-317E22.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP23-215C21.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Rbm6-ps1	0	0	1	7	2	7	1	4	8	4	9	4	1	1	0
RP23-215C21.3	8	7	16	12	17	5	5	4	6	6	6	10	8	15	5
Gm25166	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pi15	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0
RP23-329F7.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC104917.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Crispld1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP23-329F7.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP24-571A14.1	2	6	1	12	1	12	4	2	6	5	4	11	0	1	3
RP24-571A14.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP24-571A14.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP24-571A14.6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP24-571A14.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP24-571A14.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Crisp4	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0
Defb44-ps	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Defb18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Defb41	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP24-108N24.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP24-284D7.1	0	0	2	0	0	11	0	0	0	0	0	0	0	0	0
Gm24075	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP23-122B3.1	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0
RP23-122B3.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC098736.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tfap2d	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC098736.2	4	7	13	3	2	2	7	4	2	5	7	5	7	6	4
Tfap2b	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP24-119I6.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP24-119I6.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP24-119I6.5	5	27	5	13	5	19	12	21	10	4	13	12	8	13	8
Gm24633	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP24-132H2.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pkhd1	0	0	0	0	1	0	0	3	15	0	17	0	0	0	0
RP23-245C4.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC101789.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC101789.1	1	1	1	1	2	0	0	0	0	1	0	0	0	0	0
Gm24162	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lincmd1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mir206	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mir133b	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Il17a	0	7	0	0	0	0	0	0	0	0	0	0	0	6	0
Il17f	53	4	0	0	0	0	0	0	0	0	0	0	0	0	0
Mcm3	23160	33066	29569	13326	7150	9990	10373	7636	12229	11392	7818	8514	46762	46959	27804
RP23-191A12.1	1	1	0	0	0	0	0	0	0	1	0	1	0	1	0
RP23-191A12.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm24723	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP23-191A12.5	0	0	25	0	0	0	0	0	0	0	0	6	0	0	0
Paqr8	0	424	136	472	145	363	322	386	140	165	486	361	80	100	193
Gm24171	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP23-191A12.6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Efhc1	0	0	59	0	3	0	0	7	30	0	16	0	1	21	0
Tram2	83	272	364	79	75	142	224	159	225	398	355	220	185	292	223
RP24-278K16.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP23-80N7.1	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0
Tmem14a	180	76	123	130	232	19	224	82	121	51	146	124	158	105	87
RP23-278E1.4	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
Gsta3	18	70	27	0	6	12	38	427	906	20	990	46	11	22	67
RP23-80N7.2	0	0	2	0	0	0	0	0	0	2	11	7	4	3	1
RP23-278E1.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP23-278E1.2	324	138	242	30	37	11	3	37	20	6282	5753	5541	534	982	5243
RP23-278E1.3	0	0	0	0	0	0	0	0	0	41	85	107	8	7	36
Khdc1a	0	0	9	0	13	0	0	0	0	0	0	17	18	10	0
AC115920.6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC115920.7	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
Khdc1c	0	1	0	0	0	0	0	0	0	0	16	0	0	0	0
AC115920.8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC115920.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Khdc1b	0	0	0	0	0	12	0	0	0	0	0	0	2	0	0
AC115920.4	0	2	0	0	0	0	0	0	0	0	0	0	0	2	0
Kcnq5	24	22	0	0	0	0	0	1	2	2	6	7	8	42	51
RP24-496H1.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC115920.2	81	42	90	63	58	62	54	73	59	30	69	51	56	91	42
RP23-322P13.2	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0
Gm26580	19	40	7	0	5	0	0	2	2	5	39	13	19	9	8
RP24-78G8.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP24-261D2.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Rims1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
RP23-42E3.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP24-495G2.1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0
RP24-495G2.2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
RP24-163I14.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm24176	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP23-28L24.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mir30a	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP23-28L24.7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mir30c-2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP23-28L24.8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP23-28L24.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ogfrl1	0	8	1	4	0	0	0	3	5	0	5	0	4	3	0
RP24-361E14.1	18	11	29	7	2	1	10	3	7	10	9	10	20	35	14
RP23-25K16.1	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0
B3gat2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Smap1	12	1	61	5	26	13	38	55	53	1	17	42	3	14	21
Sdhaf4	1763	703	1536	1535	2366	1092	1327	963	1483	1173	1664	1483	1011	969	878
RP24-287C19.1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
Fam135a	0	0	1	0	0	0	0	1	16	0	1	0	0	1	0
RP23-255J24.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP23-255J24.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Col9a1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Col19a1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm26418	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tubb4b-ps2	17	43	19	30	8	31	13	15	21	18	20	15	35	43	24
RP23-8J15.7	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1
RP23-8J15.6	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
RP23-8J15.5	0	0	0	0	0	1	1	5	3	0	11	0	2	0	5
RP23-8J15.4	22	10	29	27	32	29	33	16	32	9	38	22	17	27	22
RP23-8J15.3	1	1	2	0	2	0	0	1	5	0	3	0	1	1	0
RP23-8J15.2	3	2	2	1	1	1	1	3	5	0	3	2	3	2	1
RP23-8J15.1	11	4	16	9	10	5	11	9	13	2	9	16	6	8	9
Lmbrd1	2381	3677	4128	3554	3070	4683	4802	4408	4748	2502	3670	4000	2421	2070	2775
RP23-109H7.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP24-178K6.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP24-178K6.2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
RP24-178K6.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Adgrb3	0	3	1	1	0	3	4	6	2	7	1	2	2	0	1
AC122187.1	1	0	0	0	0	0	0	0	0	1	0	0	1	1	0
RP23-21P2.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm22260	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP23-21P2.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP23-21P2.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP23-21P2.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP23-21P2.6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP23-21P2.7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP23-21P2.8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm25294	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP23-347F2.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP23-347F2.3	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
RP23-347F2.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP23-478K4.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP23-478K4.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP23-478K4.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
